N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
77;¿Qué documento define cómo se ejecutará, monitoreará y controlará el proyecto?;Acta de constitución;Cronograma;Plan para la dirección del proyecto;EDT;C;Contiene todos los planes subsidiarios.;Personas;Tarea 3: Desempeño;Híbrido;"TRICK: Usa el ""Reconocimiento y Recompensas"" para motivar al equipo, pero asegúrate de que sea equitativo y basado en resultados reales."
78;¿Cuál es el principal resultado de realizar el proceso de identificar riesgos?;Registro de riesgos;Plan de respuesta;Plan de gestión;Auditoría;A;Es donde se listan todos los riesgos conocidos.;Procesos;Tarea 17: Cierre;Predictivo;ORDEN DE ACCIONES: El cierre técnico termina con la entrega. El cierre administrativo termina con las Lecciones Aprendidas y el archivo.
79;¿Qué técnica usa tarjetas, votación y consenso para priorizar?;Técnica Delphi;Técnica del Valor Escondido;Técnicas grupales;Planificación por puntos;C;Técnicas como dot-voting son ejemplos comunes.;Personas;Tarea 11: Equipos virtuales;Híbrido;MINDSET: En remoto, la confianza se construye con entregas claras y canales de comunicación abiertos, no con vigilancia.
80;¿Qué proceso asegura que el producto final cumple los criterios de aceptación?;Validar el alcance;Control de calidad;Cierre del proyecto;Verificar entregables;A;Asegurar la aceptación formal del cliente o patrocinador.;Procesos;Tarea 5: Alcance;Predictivo;"SALTARSE CHANGE CONTROL: El ""Scope Creep"" (corrimiento del alcance) es la principal causa de fracaso. Se controla con una definición de alcance firme."
81;Mientras llevas a cabo una sesión de planificación de gestión de riesgos, descubres la posibilidad de cambios regulatorios que pueden afectar los entregables de tu proyecto. Para gestionar eficazmente estos posibles cambios, ¿cuál es el mejor paso inicial a tomar en tu estrategia de respuesta al riesgo?;Realizar una evaluación del riesgo para evaluar el impacto de los cambios regulatorios;Detener inmediatamente el proyecto hasta que el entorno regulatorio se estabilice;Confiar únicamente en el seguro para transferir el riesgo asociado a los cambios regulatorios;Excluir cualquier consideración regulatoria del alcance del proyecto para evitar conflictos;A;El primer paso ante un posible riesgo es evaluarlo (probabilidad e impacto). Sólo después se decide si se evita, transfiere, mitiga o acepta.;Personas;Tarea 12: Reglas del equipo;Ágil;"TRICK: Si el equipo falta a las reuniones diarias, revisa el ""Team Charter"" con ellos. Ellos mismos deben corregir su comportamiento."
82;Estás gestionando un proyecto de software complejo para una institución financiera. A mitad del desarrollo, el cliente solicita un cambio importante de alcance para integrar un nuevo módulo de cumplimiento regulatorio. Este cambio está alineado con los estándares de la industria, pero aumentaría los costos en un 25% y retrasaría el proyecto dos meses. El equipo de desarrollo está preocupado por los desafíos técnicos, mientras que algunos interesados lo ven como esencial para la competitividad. ¿Cómo deberías manejar esta solicitud?;Negociar con el cliente para implementar el módulo regulatorio como una fase separada del proyecto actual;Consultar con el equipo para incorporar el cambio usando los recursos y cronograma actuales;Realizar un análisis de impacto completo, presentar los resultados al comité de control de cambios y esperar su decisión antes de continuar;Implementar el cambio de inmediato, ajustando el cronograma y presupuesto ya que está alineado con estándares;C;Cualquier cambio significativo en alcance debe pasar por un proceso formal de control de cambios, incluyendo análisis de impacto, antes de su aprobación.;Procesos;Tarea 2: Comunicaciones;Predictivo;MINDSET: El PM gasta el 90% de su tiempo comunicando. Si hay un problema, el 90% de las veces la causa raíz es la comunicación.
83;El Control de Calidad se preocupa principalmente de ________.;la creación de métricas de calidad;la definición de políticas de calidad;la identificación de nuevos estándares de calidad;Control de calidad es parte del aseguramiento de calidad que se enfoca en revisar los entregables y asegurar que cumplan con los requisitos;D;Control de calidad es parte del aseguramiento de calidad que se enfoca en revisar los entregables y asegurar que cumplan con los requisitos.;Entorno;Tarea 4: Cambio organizacional;Híbrido;TRICK: Evalúa la cultura de la empresa. Si la organización es muy jerárquica, introducir metodologías ágiles requerirá gestión del cambio.
84;La ____________ efectiva asegura que los interesados del proyecto sean identificados, que se comprendan sus necesidades y expectativas, y que participen apropiadamente en decisiones y actividades del proyecto. Opciones:;planificación del alcance;gestión de riesgos;control de costos;La gestión de interesados se centra en su identificación, análisis de sus intereses y participación activa en el proyecto;D;La gestión de interesados se centra en su identificación, análisis de sus intereses y participación activa en el proyecto.;Personas;Tarea 7: Liderazgo;Ágil;PMI MINDSET: El PM influye sin autoridad jerárquica directa en muchos casos. El liderazgo situacional es la clave.
85;Una lista de verificación de calidad es una herramienta usada en la Gestión de Calidad del Proyecto para verificar que se haya realizado un conjunto de pasos requeridos o para ______ una lista de atributos requeridos.;presupuestar;Los checklists de calidad se usan para inspeccionar que todos los pasos o atributos estén presentes o se hayan ejecutado correctamente;programar;documentar;B;Los checklists de calidad se usan para inspeccionar que todos los pasos o atributos estén presentes o se hayan ejecutado correctamente.;Procesos;Tarea 15: Cierre de fase;Predictivo;ORDEN DE ACCIONES: Al final de cada fase, verifica que los entregables cumplan con los criterios de salida antes de iniciar la siguiente.
86;¿Qué proceso del PMBOK está enfocado en la aprobación formal de los entregables por parte del cliente o patrocinador?;Controlar la calidad;Validar el alcance;Dirigir y gestionar el trabajo del proyecto;Cerrar el proyecto o fase;B;Validar el alcance busca asegurar que los entregables han sido completados satisfactoriamente y aceptados formalmente.;Personas;Tarea 8: Mentoría;Híbrido;MINDSET: Un PM exitoso prepara a su reemplazo. La mentoría asegura la continuidad del conocimiento en la organización.
87;¿Qué herramienta ayuda a representar visualmente la estructura jerárquica del trabajo del proyecto?;EDT (WBS);Diagrama de Gantt;Matriz de asignación de responsabilidades;Registro de interesados;A;La EDT descompone el proyecto en componentes manejables que facilitan su gestión y control.;Procesos;Tarea 13: Metodología;Híbrido;TAILORING: Si el proyecto tiene partes muy claras (hardware) y otras inciertas (software), usa un enfoque Híbrido.
88;¿Cuál es el propósito principal del Product Backlog en un proyecto ágil?;Registrar problemas técnicos;Listar los entregables completados;Organizar y priorizar los requerimientos del cliente;Documentar cambios en el alcance;C;El Product Backlog es un listado vivo y priorizado de funcionalidades, mejoras y requerimientos del producto.;Entorno;Tarea 2: Valor;Predictivo;TRICK: Realiza un análisis de Costo-Beneficio antes de iniciar cualquier solicitud de cambio importante.
89;En el contexto del análisis de riesgos, ¿qué representa un riesgo residual?;Un riesgo que ya ocurrió;Un riesgo identificado sin plan de respuesta;Un riesgo que permanece después de implementar una respuesta;Un riesgo que se transfiere a un tercero;C;El riesgo residual es aquel que sigue existiendo tras aplicar acciones de respuesta planificadas.;Personas;Tarea 9: Apoyar desempeño;Ágil;MINDSET: Si la moral del equipo está baja, organiza una actividad de team building o revisa si los objetivos son realistas.
90;¿Qué se debe hacer al identificar una nueva parte interesada en la fase de ejecución?;Escalar al comité de dirección;Revisar y actualizar el registro de interesados y estrategias de involucramiento;Solicitar aprobación del patrocinador;Detener el proyecto hasta integrar al nuevo interesado;B;Es fundamental actualizar los documentos de gestión de interesados para mantener la alineación con sus expectativas.;Procesos;Tarea 6: Cronograma;Predictivo;"ORDEN DE ACCIONES: Si el camino crítico se retrasa, evalúa ""Crashing"" (meter gente) solo si el presupuesto lo permite y no añade complejidad excesiva."
91;¿Qué técnica se utiliza en proyectos ágiles para estimar el esfuerzo mediante consenso grupal?;Técnica de Monte Carlo;Técnica Delphi;Planning Poker;Análisis de causa raíz;C;Planning Poker es común en equipos ágiles para consensuar estimaciones usando tarjetas con valores numéricos.;Procesos;Tarea 1: Ejecutar con urgencia;Ágil;PMI Mindset: Planning Poker = estimación por consenso en ágil. Usa el acuerdo del equipo, no el experto individual.
92;¿Cuál de los siguientes elementos forma parte del triángulo de restricciones del proyecto?;Comunicación;Riesgo;Costo;Requisitos no funcionales;C;El triángulo de restricciones incluye alcance, tiempo y costo.;Procesos;Tarea 1: Ejecutar con urgencia;Híbrido;ENTREGA DE VALOR: Si el negocio necesita un retorno rápido, prioriza el MVP (Producto Mínimo Viable) en lugar de esperar al final del proyecto.
93;El proyecto ha finalizado y todos los entregables fueron aceptados. ¿Cuál es el siguiente paso lógico?;Iniciar una nueva fase;Validar el alcance;Cerrar el proyecto o fase;Controlar los recursos;C;Una vez completados los entregables, se formaliza el cierre administrativo del proyecto.;Personas;Tarea 2: Liderar un equipo;Ágil;"SERVANT LEADERSHIP: El PM no asigna tareas; el equipo las toma del Sprint Backlog según su capacidad. El PM elimina los bloqueos."
94;En un proyecto ágil, ¿cuál es la responsabilidad del Scrum Master?;Priorizar el backlog;Coordinar al equipo comercial;Remover impedimentos y facilitar el proceso ágil;Aprobar cambios en el alcance;C;El Scrum Master protege al equipo y asegura que se siga el marco Scrum.;Procesos;Tarea 13: Metodología;Híbrido;TAILORING: No todos los procesos del PMBOK son obligatorios. El PM debe seleccionar solo aquellos que aporten valor al proyecto específico.
95;¿Cuál es el propósito de un hito en el cronograma del proyecto?;Representar tareas repetitivas;Indicar el porcentaje de avance;Señalar eventos clave sin duración;Controlar el presupuesto;C;Los hitos marcan puntos importantes como aprobaciones o entregas clave.;Entorno;Tarea 4: Cambio organizacional;Predictivo;MINDSET: El éxito no es solo entregar el producto, sino asegurar que la organización esté lista para usarlo y obtener beneficios.
96;¿Qué significa tener un SPI de 0.95 y un CPI de 0.60?;Atraso moderado, sobrecosto significativo;Atraso leve, ahorro moderado;Proyecto adelantado y bajo costo;Buen desempeño general;A;"SPI < 1 indica retraso; CPI < 1 muestra que se gasta más de lo previsto.";Personas;Tarea 1: Gestionar conflictos;Predictivo;"TRICK: La técnica de ""Suavizar/Adaptar"" (Smoothing) es temporal. Para soluciones definitivas, busca siempre ""Colaborar/Resolver""."
97;¿Cuál es el propósito de realizar auditorías de calidad durante el proyecto?;Identificar nuevos riesgos;Asignar recursos;Verificar el cumplimiento de procesos y estándares;Medir productividad;C;Las auditorías garantizan que se sigan los procesos definidos.;Procesos;Tarea 3: Gestionar riesgos;Híbrido;RIESGO vs ISSUE: Si un riesgo secundario aparece debido a una respuesta a otro riesgo, debe documentarse en el registro de riesgos de inmediato.
98;"¿Cuál es el entregable principal del proceso ""Desarrollar el Plan para la Dirección del Proyecto""?";Acta de constitución;Plan de gestión de riesgos;Plan para la dirección del proyecto;EDT (WBS);C;Este plan integra todos los planes subsidiarios y guía la ejecución y control del proyecto.;Personas;Tarea 6: Generar entendimiento;Ágil;"MINDSET: Usa ""Radiadores de Información"" (pizarras, monitores) para que el estado del proyecto sea visible para todos sin enviar correos."
99;¿Qué enfoque es más adecuado cuando los requisitos son volátiles o evolucionan con el tiempo?;Predictivo;En cascada;Ágil;En paralelo;C;Los marcos ágiles permiten adaptarse continuamente a cambios en requerimientos.;Procesos;Tarea 10: Gestionar cambios;Predictivo;SALTARSE CHANGE CONTROL: Si un cambio es rechazado por el CCB, el PM debe comunicarlo al solicitante y documentar las razones en el registro de cambios.
100;En la planificación del proyecto, ¿qué documento detalla cómo se comunicará el avance a los interesados?;Registro de interesados;Matriz RACI;Plan de gestión de las comunicaciones;EDT;C;Este plan define el qué, cómo, cuándo y a quién se comunica durante el proyecto.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;TRICK: El Plan de Gestión de Beneficios define cómo y cuándo se entregarán los beneficios. Es responsabilidad del PM y del Sponsor.
101;¿Qué se busca al desarrollar el cronograma del proyecto?;Asignar tareas al equipo de trabajo;Establecer los costos asociados;Definir fechas de inicio y fin de actividades;Evaluar los riesgos del proyecto;C;El cronograma establece la secuencia lógica de las actividades con sus duraciones previstas.;Personas;Tarea 12: Reglas del equipo;Ágil;"MINDSET: El ""Definition of Done"" (DoD) es una regla de equipo. Si algo no cumple el DoD, no se puede presentar en la Sprint Review."
102;¿Cuál de las siguientes opciones representa un riesgo positivo en un proyecto?;Demora en la entrega de un proveedor;Reducción de presupuesto;Mayor disponibilidad de recursos;Pérdida de un interesado clave;C;Los riesgos positivos, también llamados oportunidades, pueden tener impacto favorable si se aprovechan.;Procesos;Tarea 5: Gestionar alcance;Predictivo;"GOLD PLATING: Darle al cliente ""un poco más"" de lo acordado sin pasar por cambios es un error de gestión, no un valor agregado."
103;¿Qué se utiliza para asegurar que todos los requerimientos estén incluidos en el alcance del proyecto?;Plan de calidad;Matriz de trazabilidad de requisitos;EDT;Registro de interesados;B;La matriz de trazabilidad permite relacionar cada requisito con entregables y objetivos del proyecto.;Personas;Tarea 5: Capacitación;Híbrido;TRICK: La capacitación es un costo del proyecto si es necesaria para el éxito del mismo. Debe incluirse en el presupuesto inicial.
